name,cost,year,mileage,rekkevidde,img
Tesla Model Y,409000,2024,44288,533,https://images.finncdn.no/dynamic/default/item/468133202/d6f49da9-b9b7-4e40-8d31-f3c7497e397c
Tesla Model 3,309900,2023,20700,491,https://images.finncdn.no/dynamic/default/item/467955722/7143475c-a017-4d40-8ea4-11b34a9a9f73
Hyundai Ioniq 5,344900,2023,60400,454,https://images.finncdn.no/dynamic/default/item/467854666/8fae89b3-43ec-4b50-96e1-114a801f5721
MG ZS EV,219900,2022,44300,440,https://images.finncdn.no/dynamic/default/item/468411392/92a0d92c-9910-4366-81cd-ac3743e8b6a7
Volkswagen Golf,139900,2018,97400,,https://images.finncdn.no/dynamic/default/item/468803407/9ffbbbd2-ce60-428a-b3ee-81649ca01f9d
Tesla Model S,125532,2015,223000,,https://images.finncdn.no/dynamic/default/item/468801628/290ff156-92ed-404a-a183-4efc2c196267
Skoda Enyaq,309000,2023,120753,506,https://images.finncdn.no/dynamic/default/item/468803353/c5cc29f3-c73e-45ff-84a6-f6bfa132dc98
Volvo EX30,388500,2025,26700,450,https://images.finncdn.no/dynamic/default/item/468803248/3e6f6dee-139f-4363-b88c-2156566591b9
Tesla Model Y,319000,2022,94000,542,https://images.finncdn.no/dynamic/default/item/468803204/e203b922-9d2d-48fc-8441-134266d8adf3
Mercedes-Benz B-Klasse,65000,2017,18000,,https://images.finncdn.no/dynamic/default/item/468803202/696a176f-b263-4511-8c83-b2bf27debeff
Kia Niro,289000,2024,15800,460,https://images.finncdn.no/dynamic/default/item/468802820/d54431b3-e57f-4b99-9988-234c2e9d5c40
Volkswagen ID.7,579900,2026,6000,571,https://images.finncdn.no/dynamic/default/item/468802546/d44255c8-25f3-4529-bdd7-e3b3a692983e
Polestar 3,869000,2025,2400,554,https://images.finncdn.no/dynamic/default/item/468802501/b88a25ba-3702-46cf-82cc-e47d987270a0
Hyundai Ioniq 5,304900,2022,85560,,https://images.finncdn.no/dynamic/default/item/468802450/941d1fa7-ddaf-48bf-9ef6-c9244c050b66
Mercedes-Benz EQV300,390000,2020,70000,345,https://images.finncdn.no/dynamic/default/item/388674067/1277a45b-456d-4eaf-a581-d8770408f40c
Lexus RZ450e,404900,2024,66688,435,https://images.finncdn.no/dynamic/default/item/468802403/c8c99e6f-a429-4aca-a623-f04a3b4eed25
Hyundai Ioniq 5,359532,2022,55200,460,https://images.finncdn.no/dynamic/default/item/468802376/682e6ec4-db23-4670-94ca-ad746c0ce61a
Hyundai Kona,229000,2020,47000,449,https://images.finncdn.no/dynamic/default/item/468802283/d5781fd6-1d26-4a17-8896-e63b39766810
Ford Mustang Mach-E,348500,2022,49500,610,https://images.finncdn.no/dynamic/default/item/468802388/c655599f-3592-42a4-8a1b-bf0e5870ed05
BMW iX1,459000,2023,25500,422,https://images.finncdn.no/dynamic/default/item/468802237/a7e6ee66-eaf2-4ac0-98ee-1017887db5f2
VOYAH Courage,409900,2025,9270,446,https://images.finncdn.no/dynamic/default/item/468802143/18a9b779-963d-43d8-8724-38802f174448
Audi Q8 e-tron,649000,2024,40126,525,https://images.finncdn.no/dynamic/default/item/468802139/cce329cc-f6ab-4711-b37c-6430be861b4c
Skoda Enyaq Coupe RS,424900,2023,36428,516,https://images.finncdn.no/dynamic/default/item/468802095/e2894324-16af-4871-84a5-606db80aba9c
Volkswagen ID.4 GTX,389900,2023,38150,493,https://images.finncdn.no/dynamic/default/item/468802098/69ad3e0b-0480-4a15-80e5-9779c027f8f0
Citroen E-C4,219000,2023,57974,357,
Volkswagen ID.7,419000,2024,35700,613,https://images.finncdn.no/dynamic/default/item/468801903/0fbbcf2a-93d3-499f-aef0-6f04cd87fb62
Tesla Model Y,359990,2023,78000,533,https://images.finncdn.no/dynamic/default/item/468801839/458a931f-ee85-45dd-b58c-6964b0ccfc04
Volvo C40,419900,2023,39000,444,https://images.finncdn.no/dynamic/default/item/468801678/a72e8f52-7855-4578-b340-a2167904621c
Hyundai Ioniq 5,379900,2023,60050,481,https://images.finncdn.no/dynamic/default/item/468122385/8ff42b0d-269c-4157-8189-7e049db83ff9
Volkswagen ID.3,339000,2026,7900,430,https://images.finncdn.no/dynamic/default/item/468801251/1d5ddf8b-e42c-4885-8a0c-df25145b4e63
Fiat 500,219900,2023,13260,321,https://images.finncdn.no/dynamic/default/item/467451296/695af0d7-0cce-4361-9469-1f6e7e5e32c9
Polestar 2,519900,2026,35,583,https://images.finncdn.no/dynamic/default/item/467093545/ef7c0c6c-3bcc-4540-bc53-89db0682ad57
